year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2018,2018-02-27,,0.2,38.92054891,-121.0034609,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-05,,0.2,38.94110765,-120.9786129,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-14,,0.2,38.95889655,-120.9529495,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-29,,0.2,38.856162,-120.99328,Hand Pile,,,El Dorado,PFIRS,FALSE
2018,2018-04-17,,0.2,38.90428081,-121.056118,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-04-18,,0.2,39.28086,-120.11991,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-05-09,,0.2,39.189601,-120.130692,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-17,,0.2,38.873838,-120.024604,Hand Pile,,,El Dorado,PFIRS,FALSE
2019,2019-12-20,,0.2,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-20,,0.2,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-21,,0.2,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-19,SOLDIER MT HANDPILES UNIT 6,0.208756164,41.05130034,-121.5785198,,,,Shasta,CALFIRE,FALSE
2018,2018-03-09,,0.21,38.856162,-120.99328,Hand Pile,,,El Dorado,PFIRS,FALSE
2018,2018-12-19,SOLDIER MT HANDPILES UNIT 4,0.212184057,41.0538955,-121.5635428,,,,Shasta,CALFIRE,FALSE
2017,2017-11-22,,0.22,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
1991,1991-11-07,TRIBOGY,0.220883459,41.16356617,-123.9051433,,,,Humboldt,CALFIRE,FALSE
2019,2019-04-03,PILE BURN,0.222179189,39.51670498,-120.9902077,,,,Sierra,CALFIRE,FALSE
1990,1990-12-11,DORSTQUAR,0.222321317,36.6331563,-118.803636,,,,Tulare,CALFIRE,FALSE
1977,1977-04-06,WATERHEAD,0.222342625,36.49329145,-118.8329301,,,,Tulare,CALFIRE,FALSE
1990,1990-09-30,CEDARGROV,0.222354785,36.78445177,-118.6448031,,,,Fresno,CALFIRE,FALSE
1992,1992-09-17,CONGRESS,0.222358197,36.57930981,-118.7514187,,,,Tulare,CALFIRE,FALSE
1987,1987-06-17,LINDAS,0.222391635,36.5728848,-118.7653544,,,,Tulare,CALFIRE,FALSE
1990,1990-11-13,DORSTCREE,0.222393095,36.63435533,-118.8137296,,,,Tulare,CALFIRE,FALSE
1983,1983-10-17,STANFORD,0.22239393,36.51631252,-118.7871839,,,,Tulare,CALFIRE,FALSE
1990,1990-10-14,CEDARSPRI,0.222395986,36.74188598,-118.9563651,,,,Fresno,CALFIRE,FALSE
1990,1990-06-26,GRANT WES,0.222416207,36.74730169,-118.972295,,,,Fresno,CALFIRE,FALSE
1998,1998-07-02,HOSPITAL,0.222424537,36.52105268,-118.7722939,,,,Tulare,CALFIRE,FALSE
1982,1982-07-04,SUPER GRA,0.222428948,36.49203855,-118.8187768,,,,Tulare,CALFIRE,FALSE
1980,1980-09-08,SHERMAN,0.222433224,36.58012081,-118.751437,,,,Tulare,CALFIRE,FALSE
1990,1990-10-03,GRANTGROV,0.222434774,36.72964547,-118.9607573,,,,Tulare,CALFIRE,FALSE
1980,1980-06-10,GRASSLAND,0.222465709,36.51060862,-118.8068168,,,,Tulare,CALFIRE,FALSE
1982,1982-06-16,GRASSLAND,0.222465709,36.51060862,-118.8068168,,,,Tulare,CALFIRE,FALSE
1991,1991-01-17,WOLVERTON,0.22246775,36.44613197,-118.7042375,,,,Tulare,CALFIRE,FALSE
1991,1991-07-11,HOSPITAL,0.222468331,36.52057219,-118.7735455,,,,Tulare,CALFIRE,FALSE
1971,1971-10-22,BUENA VIS,0.222468615,36.54585842,-118.7825018,,,,Tulare,CALFIRE,FALSE
1990,1990-06-22,HOSPITALR,0.222469419,36.52030682,-118.7732044,,,,Tulare,CALFIRE,FALSE
1981,1981-06-16,SUPER GRA,0.222472504,36.48988609,-118.8180566,,,,Tulare,CALFIRE,FALSE
1980,1980-06-11,WILD SHEE,0.222472757,36.49947744,-118.8624924,,,,Tulare,CALFIRE,FALSE
1979,1979-05-17,ROADS END,0.22248666,36.7947466,-118.5834939,,,,Fresno,CALFIRE,FALSE
1990,1990-11-01,LOOKOUTPN,0.222509563,36.42986415,-118.7631133,,,,Tulare,CALFIRE,FALSE
1983,1983-06-09,ASH MT,0.222535342,36.48922802,-118.8257437,,,,Tulare,CALFIRE,FALSE
1977,1977-03-23,Unknown,0.232725739,36.48283018,-121.1759327,,,,San Benito,CALFIRE,FALSE
1977,1977-03-23,Unknown,0.23890546,36.48228319,-121.1773471,,,,San Benito,CALFIRE,FALSE
2017,2017-03-09,,0.24,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
1980,1980-05-14,HQ BREAK,0.240167812,36.48209704,-121.1783312,,,,San Benito,CALFIRE,FALSE
2013,2013-01-07,Headquarters Fuel Break Pile Rx,0.243419364,41.71641298,-121.5230543,,,,Siskiyou,CALFIRE,FALSE
2013,2013-01-28,,0.25,39.28020457,-120.1205206,UNK,,,Placer,PFIRS,FALSE
2013,2013-02-07,,0.25,39.28020457,-120.1205206,UNK,,,Placer,PFIRS,FALSE
2013,2013-02-08,,0.25,39.28020457,-120.1205206,UNK,,,Placer,PFIRS,FALSE
2014,2014-02-22,,0.25,39.066197,-120.96706,Machine Pile,,,Placer,PFIRS,FALSE
2014,2014-03-05,,0.25,39.280205,-120.120521,Hand Pile,,,Placer,PFIRS,FALSE
2014,2014-03-13,,0.25,39.280205,-120.120521,Hand Pile,,,Placer,PFIRS,FALSE
2014,2014-05-21,,0.25,38.60956,-120.504355,Hand Pile,,,El Dorado,PFIRS,FALSE
2014,2014-11-03,,0.25,39.40375,-120.196,Hand Pile,,,Nevada,PFIRS,FALSE
2014,2014-11-03,,0.25,39.185917,-120.2051,Hand Pile,,,Placer,PFIRS,FALSE
2014,2014-11-19,,0.25,38.60956,-120.504355,Hand Pile,,,El Dorado,PFIRS,FALSE
2014,2014-12-05,,0.25,39.4467,-120.0963,Hand Pile,,,Nevada,PFIRS,FALSE
2015,2015-03-15,,0.25,39.066197,-120.96706,Machine Pile,,,Placer,PFIRS,FALSE
2015,2015-03-16,,0.25,39.066197,-120.96706,Machine Pile,,,Placer,PFIRS,FALSE
2015,2015-03-17,,0.25,39.066197,-120.96706,Machine Pile,,,Placer,PFIRS,FALSE
2015,2015-11-06,,0.25,39.437367,-120.210167,Hand Pile,,,Nevada,PFIRS,FALSE
2015,2015-11-12,,0.25,39.471517,-120.088433,Hand Pile,,,Nevada,PFIRS,FALSE
2015,2015-11-26,,0.25,38.612243,-120.593405,Hand Pile,,,El Dorado,PFIRS,FALSE
2015,2015-12-16,,0.25,38.941453,-120.079966,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-01-05,,0.25,38.941787,-119.944267,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-02-18,,0.25,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-03-09,,0.25,38.60956,-120.504355,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-03-17,,0.25,38.60956,-120.504355,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-03-18,,0.25,38.60956,-120.504355,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-03-21,,0.25,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-03-30,,0.25,38.60956,-120.504355,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-04-08,,0.25,34.54346937,-119.7922182,Hand Pile,,,Santa Barbara,PFIRS,FALSE
2016,2016-10-03,,0.25,39.565983,-120.599853,Hand Pile,,,Sierra,PFIRS,FALSE
2016,2016-10-19,,0.25,39.306333,-120.379933,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-10-28,,0.25,38.941787,-119.944267,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-10-31,,0.25,39.471517,-120.088433,Hand Pile,,,Nevada,PFIRS,FALSE
2016,2016-11-05,,0.25,39.128595,-120.166698,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-11-18,,0.25,38.853512,-120.037522,Hand Pile,,,El Dorado,PFIRS,FALSE
2016,2016-11-29,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2016,2016-11-29,,0.25,38.25865799,-120.3166265,UNK,,,Calaveras,PFIRS,FALSE
2016,2016-12-13,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2017,2017-02-10,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2017,2017-02-11,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2017,2017-02-18,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2017,2017-03-07,,0.25,39.845718,-121.702139,Broadcast,,,Butte,PFIRS,FALSE
2017,2017-06-13,,0.25,39.2591904,-120.0657713,Hand Pile,,,Placer,PFIRS,FALSE
2017,2017-11-08,,0.25,39.28086,-120.11991,Hand Pile,,,Placer,PFIRS,FALSE
2017,2017-11-13,,0.25,38.90679719,-120.6577349,Machine Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-13,,0.25,39.28086,-120.11991,Hand Pile,,,Placer,PFIRS,FALSE
2017,2017-11-30,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2017,2017-12-06,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2017,2017-12-07,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
